video_id,caption,tags,creator_id,frame_path
1,"Watch the latest dance moves","#fun #music #dance",101,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_1.jpg"
2,"Top 10 food recipes to try","#food #fashion #fun",102,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_2.jpg"
3,"How to style fashion trends","#dance #fashion #fun",103,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_3.jpg"
4,"Unbelievable street performances","#music #food #dance",104,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_4.jpg"
5,"Funny moments compilation","#fun #music #fashion",105,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_5.jpg"
6,"Travel the world with these tips","#fashion #dance #music",106,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_6.jpg"
7,"Behind the scenes with the stars","#food #fashion #music",107,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_7.jpg"
8,"Mastering food art in minutes","#fun #food #dance",108,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_8.jpg"
9,"Concert highlights of the year","#music #dance #fashion",109,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_9.jpg"
10,"Top fashion tips for 2024","#food #fun #fashion",110,"C:/Users/sahil_qx/OneDrive/Desktop/Main Project/video_10.jpg"
